#-----------------------------------------------------------
# Vivado v2018.3 (64-bit)
# SW Build 2405991 on Thu Dec  6 23:38:27 MST 2018
# IP Build 2404404 on Fri Dec  7 01:43:56 MST 2018
# Start of session at: Mon Dec 15 22:56:22 2025
# Process ID: 33272
# Current directory: E:/Code/CPU_Design/HFUT_2020_MIPS_CPU/project
# Command line: vivado.exe -mode batch -source run.tcl
# Log file: E:/Code/CPU_Design/HFUT_2020_MIPS_CPU/project/vivado.log
# Journal file: E:/Code/CPU_Design/HFUT_2020_MIPS_CPU/project\vivado.jou
#-----------------------------------------------------------
source run.tcl
# open_project "E:\\Code\\CPU_Design\\HFUT_2020_MIPS_CPU\\project\\project.xpr"
Scanning sources...
Finished scanning sources
# launch_simulation -simset sim_1
INFO: [Vivado 12-5682] Launching behavioral simulation in 'E:/Code/CPU_Design/HFUT_2020_MIPS_CPU/project/project.sim/sim_1/behav/xsim'
INFO: [SIM-utils-51] Simulation object is 'sim_1'
INFO: [SIM-utils-54] Inspecting design source files for 'mips_tb' in fileset 'sim_1'...
INFO: [USF-XSim-97] Finding global include files...
INFO: [USF-XSim-98] Fetching design files from 'sim_1'...
INFO: [USF-XSim-2] XSim::Compile design
INFO: [USF-XSim-61] Executing 'COMPILE and ANALYZE' step in 'E:/Code/CPU_Design/HFUT_2020_MIPS_CPU/project/project.sim/sim_1/behav/xsim'
"xvlog --incr --relax -prj mips_tb_vlog.prj"
INFO: [USF-XSim-69] 'compile' step finished in '1' seconds
INFO: [USF-XSim-3] XSim::Elaborate design
INFO: [USF-XSim-61] Executing 'ELABORATE' step in 'E:/Code/CPU_Design/HFUT_2020_MIPS_CPU/project/project.sim/sim_1/behav/xsim'
Vivado Simulator 2018.3
Copyright 1986-1999, 2001-2018 Xilinx, Inc. All Rights Reserved.
Running: D:/Xilinx/Vivado/2018.3/bin/unwrapped/win64.o/xelab.exe -wto e6f7202c585f498eb4e5ec9ab3b2b493 --incr --debug typical --relax --mt 2 -L xil_defaultlib -L unisims_ver -L unimacro_ver -L secureip --snapshot mips_tb_behav xil_defaultlib.mips_tb xil_defaultlib.glbl -log elaborate.log 
Using 2 slave threads.
Starting static elaboration
Completed static elaboration
INFO: [XSIM 43-4323] No Change in HDL. Linking previously generated obj files to create kernel
INFO: [USF-XSim-69] 'elaborate' step finished in '1' seconds
INFO: [USF-XSim-4] XSim::Simulate design
INFO: [USF-XSim-61] Executing 'SIMULATE' step in 'E:/Code/CPU_Design/HFUT_2020_MIPS_CPU/project/project.sim/sim_1/behav/xsim'
INFO: [USF-XSim-98] *** Running xsim
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 02a807f8
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 000000f3
@00003050: $ 2 <= 02a807f8
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 05500ff0
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 000000f4
@00003050: $ 2 <= 05500ff0
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 0aa01fe0
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 000000f5
@00003050: $ 2 <= 0aa01fe0
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 15403fc0
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 000000f6
@00003050: $ 2 <= 15403fc0
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 2a807f80
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 000000f7
@00003050: $ 2 <= 2a807f80
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 5500ff00
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 000000f8
@00003050: $ 2 <= 5500ff00
@00003034: $ 3 <= 00000001
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= aa01fe00
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 000000f9
@00003050: $ 2 <= aa01fe01
@00003034: $ 3 <= 00000002
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 5403fc02
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 000000fa
@00003050: $ 2 <= 5403fc03
@00003034: $ 3 <= 00000001
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= a807f806
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 000000fb
@00003050: $ 2 <= a807f807
@00003034: $ 3 <= 00000002
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 500ff00e
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 000000fc
@00003050: $ 2 <= 500ff00f
@00003034: $ 3 <= 00000001
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= a01fe01e
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 000000fd
@00003050: $ 2 <= a01fe01f
@00003034: $ 3 <= 00000002
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 403fc03e
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 000000fe
@00003050: $ 2 <= 403fc03f
@00003034: $ 3 <= 00000001
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= 807f807e
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 000000ff
@00003050: $ 2 <= 807f807f
@00003034: $ 3 <= 00000002
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00ff00fe
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 00000100
@00003050: $ 2 <= 00ff00ff
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 01fe01fe
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000101
@00003050: $ 2 <= 01fe01fe
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 03fc03fc
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000102
@00003050: $ 2 <= 03fc03fc
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 07f807f8
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000103
@00003050: $ 2 <= 07f807f8
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 0ff00ff0
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000104
@00003050: $ 2 <= 0ff00ff0
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 1fe01fe0
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000105
@00003050: $ 2 <= 1fe01fe0
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 3fc03fc0
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000106
@00003050: $ 2 <= 3fc03fc0
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 7f807f80
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000107
@00003050: $ 2 <= 7f807f80
@00003034: $ 3 <= 00000001
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= ff00ff00
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 00000108
@00003050: $ 2 <= ff00ff01
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= fe01fe02
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000109
@00003050: $ 2 <= fe01fe02
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= fc03fc04
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000010a
@00003050: $ 2 <= fc03fc04
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= f807f808
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000010b
@00003050: $ 2 <= f807f808
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= f00ff010
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000010c
@00003050: $ 2 <= f00ff010
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= e01fe020
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000010d
@00003050: $ 2 <= e01fe020
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= c03fc040
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000010e
@00003050: $ 2 <= c03fc040
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= 807f8080
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000010f
@00003050: $ 2 <= 807f8080
@00003034: $ 3 <= 00000002
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 00ff0100
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 00000110
@00003050: $ 2 <= 00ff0101
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 01fe0202
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000111
@00003050: $ 2 <= 01fe0202
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 03fc0404
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000112
@00003050: $ 2 <= 03fc0404
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 07f80808
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000113
@00003050: $ 2 <= 07f80808
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 0ff01010
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000114
@00003050: $ 2 <= 0ff01010
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 1fe02020
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000115
@00003050: $ 2 <= 1fe02020
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 3fc04040
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000116
@00003050: $ 2 <= 3fc04040
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 7f808080
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000117
@00003050: $ 2 <= 7f808080
@00003034: $ 3 <= 00000001
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= ff010100
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 00000118
@00003050: $ 2 <= ff010101
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= fe020202
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000119
@00003050: $ 2 <= fe020202
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= fc040404
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000011a
@00003050: $ 2 <= fc040404
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= f8080808
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000011b
@00003050: $ 2 <= f8080808
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= f0101010
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000011c
@00003050: $ 2 <= f0101010
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= e0202020
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000011d
@00003050: $ 2 <= e0202020
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= c0404040
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000011e
@00003050: $ 2 <= c0404040
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= 80808080
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000011f
@00003050: $ 2 <= 80808080
@00003034: $ 3 <= 00000002
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 01010100
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 00000120
@00003050: $ 2 <= 01010101
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 02020202
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000121
@00003050: $ 2 <= 02020202
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 04040404
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000122
@00003050: $ 2 <= 04040404
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 08080808
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000123
@00003050: $ 2 <= 08080808
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 10101010
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000124
@00003050: $ 2 <= 10101010
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 20202020
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000125
@00003050: $ 2 <= 20202020
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 40404040
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000126
@00003050: $ 2 <= 40404040
@00003034: $ 3 <= 00000001
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= 80808080
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 00000127
@00003050: $ 2 <= 80808081
@00003034: $ 3 <= 00000002
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 01010102
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 00000128
@00003050: $ 2 <= 01010103
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 02020206
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000129
@00003050: $ 2 <= 02020206
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 0404040c
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000012a
@00003050: $ 2 <= 0404040c
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 08080818
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000012b
@00003050: $ 2 <= 08080818
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 10101030
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000012c
@00003050: $ 2 <= 10101030
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 20202060
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000012d
@00003050: $ 2 <= 20202060
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 404040c0
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000012e
@00003050: $ 2 <= 404040c0
@00003034: $ 3 <= 00000001
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= 80808180
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 0000012f
@00003050: $ 2 <= 80808181
@00003034: $ 3 <= 00000002
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 01010302
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 00000130
@00003050: $ 2 <= 01010303
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 02020606
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000131
@00003050: $ 2 <= 02020606
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 04040c0c
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000132
@00003050: $ 2 <= 04040c0c
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 08081818
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000133
@00003050: $ 2 <= 08081818
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 10103030
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000134
@00003050: $ 2 <= 10103030
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 20206060
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000135
@00003050: $ 2 <= 20206060
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 4040c0c0
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000136
@00003050: $ 2 <= 4040c0c0
@00003034: $ 3 <= 00000001
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= 80818180
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 00000137
@00003050: $ 2 <= 80818181
@00003034: $ 3 <= 00000002
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 01030302
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 00000138
@00003050: $ 2 <= 01030303
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 02060606
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000139
@00003050: $ 2 <= 02060606
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 040c0c0c
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000013a
@00003050: $ 2 <= 040c0c0c
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 08181818
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000013b
@00003050: $ 2 <= 08181818
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 10303030
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000013c
@00003050: $ 2 <= 10303030
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 20606060
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000013d
@00003050: $ 2 <= 20606060
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 40c0c0c0
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000013e
@00003050: $ 2 <= 40c0c0c0
@00003034: $ 3 <= 00000001
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= 81818180
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 0000013f
@00003050: $ 2 <= 81818181
@00003034: $ 3 <= 00000002
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 03030302
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 00000140
@00003050: $ 2 <= 03030303
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 06060606
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000141
@00003050: $ 2 <= 06060606
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 0c0c0c0c
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000142
@00003050: $ 2 <= 0c0c0c0c
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 18181818
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000143
@00003050: $ 2 <= 18181818
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 30303030
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000144
@00003050: $ 2 <= 30303030
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 60606060
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000145
@00003050: $ 2 <= 60606060
@00003034: $ 3 <= 00000001
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= c0c0c0c0
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 00000146
@00003050: $ 2 <= c0c0c0c1
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= 81818182
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000147
@00003050: $ 2 <= 81818182
@00003034: $ 3 <= 00000002
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 03030304
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 00000148
@00003050: $ 2 <= 03030305
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 0606060a
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000149
@00003050: $ 2 <= 0606060a
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 0c0c0c14
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000014a
@00003050: $ 2 <= 0c0c0c14
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 18181828
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000014b
@00003050: $ 2 <= 18181828
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 30303050
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000014c
@00003050: $ 2 <= 30303050
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 606060a0
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000014d
@00003050: $ 2 <= 606060a0
@00003034: $ 3 <= 00000001
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= c0c0c140
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 0000014e
@00003050: $ 2 <= c0c0c141
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= 81818282
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 0000014f
@00003050: $ 2 <= 81818282
@00003034: $ 3 <= 00000002
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 03030504
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 00000150
@00003050: $ 2 <= 03030505
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 06060a0a
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000151
@00003050: $ 2 <= 06060a0a
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 0c0c1414
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000152
@00003050: $ 2 <= 0c0c1414
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 18182828
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000153
@00003050: $ 2 <= 18182828
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 30305050
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000154
@00003050: $ 2 <= 30305050
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 6060a0a0
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000155
@00003050: $ 2 <= 6060a0a0
@00003034: $ 3 <= 00000001
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= c0c14140
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 00000156
@00003050: $ 2 <= c0c14141
@00003034: $ 3 <= 00000003
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000001
@00003040: $ 2 <= 81828282
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000157
@00003050: $ 2 <= 81828282
@00003034: $ 3 <= 00000002
@00003038: $ 6 <= 00000001
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 03050504
@00003044: $ 3 <= 00000001
@00003048: $ 4 <= 00000158
@00003050: $ 2 <= 03050505
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
@00003040: $ 2 <= 060a0a0a
@00003044: $ 3 <= 00000000
@00003048: $ 4 <= 00000159
@00003050: $ 2 <= 060a0a0a
@00003034: $ 3 <= 00000000
@00003038: $ 6 <= 00000000
@0000303c: $ 3 <= 00000000
